keyword,deepl
граждани-имигранти,immigrant citizens
имигрантско,immigrant
емигрантът,The Immigrant
емигрантки,immigrant women
имиграционен,immigration
кандидат-бежанеца,refugee candidate
бежанецът,refugee
имигрантите-работници,immigrant worker
Бежанец,Refugee
имигрантите,The Immigrant
емигрантката,The Immigrant
бежанка,female refugee
бежанц,refugee
мигрантите,migrants
бежанци,refugees
имигрански,immigration
имигранти,immigrants
аристократ-емигрант,immigrant aristocrat
бежанец,refugee
емигрант,Immigrant
бежански,refugee
имигрантки,immigrant women
имигранта,immigrant
дете-бежанец,child refugee
Мигрант,Migrant
емигрантка,Immigrant
инженер-емигрант,immigrant engineer
емигранти,immigrants
бежанците,refugees
мигранта,the migrant
Политемигрант,Polymigrant
слуга-емигрант,immigrant servant
имигрантски,Immigrant
мигранти,migrants
политемигрант,polymigrant
имигрирал,immigrated
емигранта,migrant
фермер-имигрант,immigrant farmer
имигрантът,the immigrant
гражданин,citizen
мигрант,migrant
бежанцит,refugee
имигрантка,immigrant
Бежанецът,The Refugee
бежанцте,refugee
политемигранти,polymigrants
имиграционния,Immigration
имигрант,immigrant
Имигрант,Immigrant
врeмигрант,immigrant
политемигрантите,polymigrants
бежанеца,refugee
емигрантъ,immigrant
