0,google_translated
Immigrants,Immigrants
frants,French
Emigrantu,Emigrants
aizmucis,run away
ārzemnieks,foreigner
Bēgļa,Refugee
ieceļotājs,immigrant
drošībnieks,security guard
Zaglis,Thief
tiesībnieks,lawyer
imigrants,immigrants
bēgļus,refugees
migrantes,migrants
cietumnieks,prisoner
bēgļiem,refugees
noziedznieks,criminal
emigranti,emigrants
migrante,migrants
Bēglis,Refugee
aziāts,asian
Bezpajumtnieks,Homeless person
iebraucējs,immigrant
kabatzaglis,pickpocket
valstspiederīgais,national
migrants,migrants
Migranti,Migrants
imigranta,immigrant
imigrantiemTulkošanas,for immigrantsTranslation
imigrantiemVecākiemBilingvālā,for immigrantsParentsBilingual
imigrantes,immigrant women
imigrantus,immigrants
ķīlnieks,hostage
bēgles,refugees
bēgļi,refugees
trimdinieks,exile
dārzbēglis,garden refugee
Bēgļi,Refugees
imigranti,immigrants
viesstrādnieks,guest worker
migrantam,migrantam
imigrantu,immigrants
izceļotājs,emigrant
migrantus,migrants
imigrāc,immigrate
pamatiedzīvotājs,indigenous population
alžīrietis,Algerian
bezvalstnieks,stateless person
bēglis,refugee
migranta,migrant
Emigrants,Emigrants
imigrante,immigrants
migrant,migrant
terorists,terrorist
bēglim,to the refugee
irākietis,Iraqi
Imigranti,Immigrants
neimigranta,nonimmigrant
bēgli,refugees
bēglēm,refugees
bēgle,refugee
mērglis,sparrow
Austrumeiropietis-imigrants,Eastern European immigrant
migranti,migrants
imigracijas,immigration
imigrantam,immigrants
Imigrantus,Immigrants
bēglītis,runaway
nepilsonis,non-citizen
bēgļa,refugee
Imigrantu,Immigrants
sīrietis,Syrian
imigran,immigrant
pilsonis,citizen
viesstudents,guest student
bezpajumtnieks,homeless person
emigrants,emigrant
laukumsImmigrants,squareImmigrant
Immigrant,Immigrant
bēgliem,refugees
immigrant,immigrant
Emigrant,Emigrant
imigrantiem,immigrants
Migrants,Migrants
Imigrants,Immigrants
jaunietis,young man
lēģeris,legger
ārvalstnieks,alien
