útlendingurinn;the foreigner
flóttamannastraumur;refugee flow
flóttamaðurinn;the refugee
flóttamanninum;the refugee
flóttamannaaðstoðar;refugee assistance
olíuútflytjandi;oil exporter
innflutningsaðilinn;the importer
flóttamannsins;refugee
innflytjendurnir;the immigrants
kántríflytjandi;country performer
brotamaður;offender
innflytenda;immigrants
flytjandi;performer
fréttaflytjandi;reporter
Núbíumaður;Nubian
innflytjendurSorg;immigrantsSorrow
Lamaður;Paralyzed
flóttabörn;refugee children
innflyta;import
innflytj;import
viðskiptamaður;customer
hælisleitandi;asylum seeker
flóttamannahjálp;refugee assistance
flytjanleg;portable
flóttbát;escape boat
flóttamaður;refugee
flóttamannaaðstoð;refugee assistance
flóttabarna;refugee children
innflytjendum;immigrants
flótta-;refugee
tónlisarflytjandinn;the music performer
flytjanlegur;portable
flóttamanna;refugees
innflytarum;immigrants
amtamaður;official
Líbýumaður;Libyan
innflytjanda;importer
Erítreumaður;Eritrean
innflytjendagettói;immigrant ghetto
flóttamanns;refugee
flóttamannastofnun;refugee agency
flóttamanna-;refugee
flóttaátt;flight direction
Útlendingur;A foreigner
ektamaður;husband
útlendingur;foreigner
flóttamann;refugee
flóttamannakrísan;the refugee crisis
innflytarar;immigrants
útflytjandi;exporter
flóttamenn19.;refugees19.
Innflytjandi;Importer
farmflytjandi;carrier
flóttamanninn;the refugee
þrotamaður;bankrupt
flóttamannabúðir;refugee camps
Fyrirmyndarveruleikaflóttamaður;Exemplary reality refugee
innflutningsaðili;importer
áb.maður;abb.ma_ur
innflytendur;immigrants
Flóttamaðu;Escape
innflytjenda-;immigrant
flóttamannakrísuna;the refugee crisis
flóttamannabúðanna;the refugee camps
flóttamannabúðum;refugee camps
Kántríflytjandi;Country performer
innflytjenda;immigrants
innflytjndur;immigrants
útflytjanda;exporter
tollstjóri;director of customs
báxítútflytjandi;bauxite exporter
listflytjandi;performer
Flóttamaðurinn;The refugee
Innflytjandinn;The immigrant
afbrotamaður;offender
sáttamaður;conciliator
innflytjendur;immigrants
flytjandinn;the performer
Farmflytjandi;Carrier
flóttamannahjálpar;refugee assistance
Smáglæpamaður;A petty criminal
síbrotamaður;perpetrator
Djandoubi;Djandoubi
Innflytjanda;Importer
vöruinnflytjenda;importers of goods
innflytendum;immigrants
innflytjandann;the immigrant
landflóttamaður;refugee
flóttamanni;refugee
flóttamannabúða;refugee camps
málflytjandi;litigant
Flóttamaður;Refugee
Farmflytjanda;Carrier
flóttamannabúðunum;the refugee camp
farmflytjanda;carrier
flóttamenn;refugees
innflytjendaþema;immigration theme
flóttakona;refugee
innflytjandinn;the importer
