0,google_translated
граждани-имигранти,immigrant citizens
конгоанец,Congolese
имигрантско,immigrant
емигрантът,the emigrant
алжириец,Algerian
емигрантки,emigrants
имиграционен,immigration
писател-емигрант,emigrant writer
пенсионер,retired
кандидат-бежанеца,refugee candidate
Албанец,Albanian
имигрантския,immigrant
художник-емигрант,emigrant artist
бежанецът,the refugee
имигрантите-работници,immigrant workers
бежанци.От,refugees.From
кюрд,Kurdish
Бежанец,Refugee
имигрантите,immigrants
ливанец,Lebanese
емигрантката,the emigrant
писателят-емигрант,the emigrant writer
бежанци-,refugees
белоемигрант,white immigrant
бежанка,refugee
бежанц,refugees
мигрантите,migrants
бежанци,refugees
имигрански,immigrant
имигранти,immigrants
аристократ-емигрант,emigrant aristocrat
бежанци.В,refugees.C
бежанец,refugee
емигрант,emigrant
бежански,refugee
имигрантки,immigrant women
имигранта,immigrant
дете-бежанец,refugee child
Мигрант,Migrant
афганец,Afghan
емигрантка,emigrant
инженер-емигрант,émigré engineer
емигранти-,emigrants
емигранти,emigrants
сириецът-християнин,the Syrian Christian
немец-емигрант,a German emigrant
бежанците,refugees
иранец,Iranian
мигранта,migrant
Политемигрант,Political immigrant
бежанците20,refugees20
слуга-емигрант,emigrant servant
бежанците09,refugees09
имигрантски,immigrant
мигранти,migrants
политемигрант,political immigrant
имигрирал,immigrated
мароканец,Moroccan
бежанци14,refugees14
емигранта,the emigrant
иракчанин,Iraqi
фермер-имигрант,immigrant farmer
имигрантът,the immigrant
афганистанец,Afghan
гражданин,citizen
мигрант,migrant
бежанцит,refugees
имигрантка,immigrant
Бежанецът,The refugee
бежанцте,refugees
Небрежанец,The negligent
политемигранти,political immigrants
имиграционния,immigration
емигрант-католик,Catholic immigrant
имигрант,immigrant
Имигрант,Immigrant
бежанци13,refugees13
сириец,Syrian
врeмигрант,immigrant
политемигрантите,political immigrants
имигрант-авиоинженер,immigrant aeronautical engineer
палестинец,Palestinian
бежанеца,the refugee
емигрантъ,the emigrant
