0,google_translated
osadowy,sedimentary
uchodźcy,Refugees
ogrodnik,gardener
budnik,building
Afgańczyk,Afghan
uciekinier,fugitive
imigranci,immigrants
ranczer,rancher
rozsadnik,seedbed
azylowy,asylum
imigrancie,immigrant
londyńczyk,Londoner
imigrantów,immigrants
bimbrownik,moonshine
uchodźcach,refugees
przesiedleniec,displaced person
terrorysta,terrorist
imigracyjny,immigration
obcokrajowiec,foreigner
ciapaty,Ciapaty
osadnikom,settlers
ekstremista,extremist
osadniczy,settlement
muzułmanin,Muslim
separatysta,separatist
najemnik,mercenary
dożywotnik,annuitant
odstojnik,decanter
obywatel,citizen
napływowy,alluvial
krajowiec,native
Pakistańczyk,Pakistani
emigrantem,an emigrant
emigrant,emigrant
rolnik,farmer
osadniki,settlers
azylanta,asylum seeker
podsadnik,feeder
bezpaństwowca,stateless person
uchodźczą,refugee
osadnikiem,settler
neonazista,neo-Nazi
Uchodźca,Refugee
imigrancki,immigrant
imigranta,immigrant
Żyd,Jew
plantator,planter
Imigrant,Immigrant
Irańczyk,Iranian
chrześcijanin,Christian
uchodźczy,refugee
emigranci,emigres
Albańczyk,Albanian
Amerykanin,American
repatriant,repatriate
uchodźcę,refugee
Somalijczyk,Somali
kolonista,colonist
imigrantow,immigrants
bezpaństwowiec,stateless person
azylanci,asylum seekers
przesiębiorca,trader
topograf,topographer
gnilny,putrefactive
biznesmen,businessman
repatrianta,repatriate
reemigrant,re-emigrant
uchodźca,refugee
winogrodnik,grower
amerykanin,American
europejczyk,European
cudzoziemiec,foreigner
Irakijczyk,Iraqi
Palestyńczyk,Palestinian
Uchodźcy,Refugees
lejkownik,funnel
migranta,migrant
urzędnik,clerk
zagrodnik,farmer
Afrykanin,African
migrant,migrant
kolonat,colonate
Brytyjczyk,Briton
osadniku,settler
islamista,Islamist
dżihadysta,jihadist
refugee,refugee
azylant,asylum seeker
imigrantem,immigrant
osadnikowe,settling tanks
drenażowy,drainage
Islamista,Islamist
uchodźcą,refugee
osadnikow,settlers
wodnik,Aquarius
uchodźctwa,refugees
imigrantek,immigrant women
imigrant,immigrant
parownik,evaporator
osadnika,settler
osadnikowy,settler
azyl,refuge
ściek,sewage
osadnikach,settlers
imigrantka,immigrant
uchodźców,refugees
immigrant,immigrant
Polak,pole
Emigrant,Emigrant
kolonizator,colonizer
obszarnik,landowner
Osadnik,Settler
traper,trapper
polak,pole
piaskownik,sand trap
zbiornik,tank
stawik,pond
żwirowy,gravelly
osadników,settlers
