0,google_translated
uprchlíka,refugee
uprchlíkům,refugees
Súdánec,Sudanese
sluníčkář,sunshine
přistěhovalecké,immigrant
přistěhovalý,immigrant
přistěhovalci,immigrants
cikán,Gypsy
utečenec,refugee
zkrachovalec,bankrupt
imigrantský,immigrant
uprchlíkem,refugee
Uprchlíky,Refugees
Kurd,Kurd
migrantem,migrant
přistěhuje,immigrates
přistěhoval,immigrated
emigrant,emigrant
osadník,settler
přistěhovalkyně,immigrant woman
uprchlický,refugee
uprchlý,runaway
utečenecký,refugee
imigranta,immigrant
domorodec,native
deportovaný,deportee
přistěhovalec,immigrant
starousedlík,old settler
Imigrant,Immigrant
Uprchlík,Refugee
uprchlíku,refugee
mladík,young man
rasista,racist
kolonista,colonist
terorista,terrorist
vyhoštěný,deported
přistěhovaleckého,immigrant
Afrikánec,African
imigranti,immigrants
nacionalista,nationalist
povalec,loafer
přistěhovalecká,immigrant
běženec,refugee
nezaměstnaný,unemployed
běženci,refugees
přistěhovalcem,immigrant
přivandrovalec,newcomer
uprchlíkù,refugees
uprchlíci,refuges
migranta,migrant
migrant,migrant
uprchlík,refugee
Palestinec,Palestinian
uprchlící,refuges
cizinec,stranger
islamista,Islamist
přistěhovalců,immigrants
azylant,asylum seeker
imigrantem,immigrant
dobrovolník,volunteer
migranti,migrants
přistěhovalce,immigrants
uprchlíky,refugees
evropan,continental
Iráčan,Iraqi
imigrant,immigrant
přistěhovalecký,immigrant
Migrant,Migrant
Afghánec,Afghan
zajatec,prisoner
azyl,asylum
uprchlíků,refugees
uprchlíkovi,refugee
imigrantka,immigrant
uprchlice,refugees
občan,citizen
Azylant,Asylum seeker
Přistěhovalec,Immigrant
uprchlíků.,refugees.
běloch,white
Somálec,Somali
extremista,extremist
vystěhovalec,emigrant
Syřan,Syrian
