keyword,deepl
Kiintiöpakolainen,Quota refugee
turvapaikka,asylum
maahanmuuttajia,migrants
maahanmuuttaja,immigrant
pakolais,refugee
pakolainen,refugee
maahanmuuttajien,migrants
maahantulija,immigrant
maahanmuuttajista,immigrants
ulkomaalaissyntyinen,foreign-born
maahanmuuttajalapset,children of immigrants
humanitaarinen,humanitarian
kotoutus,integration
pakolaistilanne,refugee situation
pakolaisuudessa,refugee situation
maahanmuuttajan,migrant
turvapaikanhakijana,asylum seeker
maahanmuuttajille,for migrants
pakolaisuus,refugee status
pakolaissopimus,refugee agreement
maahanmuuttajanainen,immigrant woman
ulkomaalainen,foreigner
Afganistanilainen,Afghan
pakolaispolitiikka,refugee policy
ulkomaalaistaustainen,foreign background
somalisyntyinen,of Somali origin
maahanmuuttajanuorille,for young migrants
Irakilainen,Iraqi
maahanmuuttajanuoret,migrant youth
siirtolainen,migrant
maanpakolainen,exile
afganistanilainen,Afghan
maahanmuuttajatyö,migrant work
turvapaikanhakija,asylum seeker
maahanmuuttajaryhmä,migrant group
maahanmuuttajat,migrants
Pakolainen,Refugee
maahanmuuttajana,as an immigrant
kiintiöpakolainen,quota refugee
elintasopakolainen,subsistence refugee
Maahanmuuttaja,Immigrant
maahanmuuttajataustainen,with an immigrant background
pakolaiseksi,refugee
maahanmuuttajaväestö,immigrant population
pakolaistulva,refugee influx
maahanmuuttajaperhe,immigrant family
maahanmuuttajuus,immigration
pakolaisjärjestö,refugee organisation
pakolaisasema,refugee status
pakolaiskysymys,refugee issue
Turvapaikanhakija,Asylum seeker
Maahanmuuttajataustainen,Immigrant background
pakolaisen,refugee
monikulttuuri,multiculturalism
maahanmuuttajalla,immigrant
pakolaistoimisto,refugee office
irakilainen,Iraqi
maahanmuuttajanuoria,migrant youth
mamu,mamu
pakolaiskeskus,refugee centre
maahanmuuttajalle,for migrants
somali,Somali
Maanpakolainen,Refugee
ulkosuomalainen,expatriate
maahanmuutto,immigration
pakolaisstatuksen,refugee status
pakolaisuuden,refugee status
kotoutuminen,integration
maastamuuttaja,emigrant
maahanmuuttajaa,immigrant
monikulttuurinen,multicultural
pakolaisryhmä,refugee group
maahanmuuttajaksi,becoming an immigrant
maahanmuuttajasta,about immigrant
pakolaisstatus,refugee status
pakolaisperhe,refugee family
pakolaisnainen,refugee woman
