keyword,google,Annotation
għerqu,drowned,0
Malancourt,Malancourt,0
immigrati,immigrants,1
Toshishita,Toshishita,0
tal-immigranti,of immigrants,1
l-emigranti,emigrants,1
valanga,avalanche,0
Għall-migranti,For migrants,1
tined,tents,0
refuġjati,refugees,1
bl-immigrazzjoni,with immigration,0
Schaffer,Schaffer,0
ċċarġjata,charged,0
Sirja,Syria,0
jibbumbardja,bombing,0
L-emigranti,The emigrants,1
tar-Refuġjati,of Refugees,1
Afgani,Afghan,0
ikkraxxja,crash,0
Marrakex-Tensift-Al,Marrakesh-Tensift-Al,0
s-Sakkeġġ,sacking,0
temigra,temigra,0
Setanta,Seventy,0
Heartaches,Heartaches,0
suiċida,suicide,0
Peninsula,Peninsula,0
r-refuġjat,the refugee,1
fil-Haiti,in Haiti,0
għall-emigranti,for emigrants,1
issussidjata,subsidized,0
inqalbet,overturned,0
mar-rifuġjati,with refugees,1
Kanta,Sing,0
inħeles,was released,0
l-Lunzjata,the Annunciation,0
Avukatessa,Lawyer,0
blokkjata,blocked,0
emigrant,emigrant,1
emigranti,emigrants,1
għal-Latvja,for Latvia,0
toqtlu,kill him,0
Gaża,Strip,0
beta-karotina,beta-carotene,0
għall-immigranti,for immigrants,1
"2,200","2,200",0
l-Haiti,Haiti,0
għar-Refuġjati,for Refugees,1
migrate,migrate,1
majorana,marjoram,0
Il-Lunzjata,The Annunciation,0
l-immigrazzjoni,immigration,1
jemigraw,migrate,1
ħarbu,escaped,0
Castries,Castries,0
iggassjata,gassed,0
l-immigrati,immigrants,1
tal-emigranti,of emigrants,1
Kolleggjata,Collegiate,0
Malarj,Malarj,0
Pointe,Pointe,0
nqabdux,were not caught,0
tinte,targets,0
imutu,imutu,0
ibbumardjata,bombarded,0
Qabad,Catch,0
MagħqudaKambodjaĊinaĊipruEġittuĠeorġjaIndjaIndoneżjaIranIraqIżraelJemenĠappunĠordanKażakistanKorea,United NationsCambodiaChinaCyprusEgyptGeorgiaIndiaIndonesiaIranIraqIsraelYemenJapanJordanKazakistanKorea,0
balbuljata,balbuljata,0
fl-immigranti,in immigrants,1
Gjata,Gjata,0
n-Nażi,the Nazis,0
al-Raxid,al-Raxid,0
iħaffer,dig,0
immigranti,immigrants,1
emigrata,emigrated,1
bl-immigranti,with immigrants,1
"17,200","17,200",0
AmericanAndSovietAtElbe.jpg,AmericanAndSovietAtElbe.jpg,0
ir-refuġjati,refugees,1
fil-Libja,in Libya,0
l-immigranti,immigrants,1
Gaddhafi,Gaddhafi,0
Nordvjetnamit,North Vietnamese,0
BurundjanBurundjanaBurundjani,BurundianBurundianBurundian,0
xeneġġjata,screened,0
Streamline,Streamline,0
19572,19572,0
eżiljata,exiled,0
jemigra,migrate,1
Israeljani,Israelis,0
Kantawtriċi,Singer - songwriter,0
mill-emigranti,by emigrants,0
ambaxxatriċi,ambassador,0
Tarħuna,Grind us,0
immigrazzjoni,immigration,1
is-Sirja,Syria,0
tar-refuġjati,of refugees,1
umiljata,humiliated,0
għall-Emigranti,for Emigrants,1
għar-Rifuġjati,for Refugees,1
"88,600","88,600",0
Kantanta,Singing,0
Al-Shabaab,Al-Shabaab,0
immigraw,immigrated,1
liċensjata,licensed,0
Hirschman,Hirschman,0
r-refuġjati,refugees,1
emigrati,emigrants,1
Refuġjati,Refugees,1
SamoaBo,SamoaBo,0
illinkljata,linked,0
suwiċida,suicide,0
jferu,hurt,0
evakwati,evacuated,0
rifuġjati,refugees,1
immigranta,immigrant,1
bl-abbużi,with abuses,0
migranti,migrants,1
jibbumbardjaw,bombing,0
Malaspina,Malaspina,0
Bomba,Bomb,0
skanta,scared,0
Libjani,Libyans,0
jindarbu,injured,0
"6,200","6,200",0
Migrant,Migrant,1
emigraw,emigrated,1
emigrat,emigrated,1
mġiegħlin,forced,0
kkraxxja,crash,0
cents,cents,0
2.Acquasanta,2.Acquasanta,0
suwiċidji,suicides,0
radjata,radiated,0
Israel,Israel,0
Bangladexxa,Bangladesh,0
għar-refuġjati,for refugees,1
Immigrant,Immigrant,1
ttikjata,ticked,0
immigrant,immigrant,1
miehet,miehet,0
"1,200","1,200",0
jegħrqu,sink,0
ittanta,ittanta,0
Immigranti,Immigrants,1
bbumbardjaw,bombed,0
"6,500","6,500",0
Belongs,Belongs,0
refuġjat,refugee,1
joqtluh,kill him,0
mar-refuġjati,with refugees,1
"31,200","31,200",0
refuġju,refuge,1
