0,google_translated
għerqu,drowned
Malancourt,Malancourt
immigrati,immigrants
Toshishita,Toshishita
tal-immigranti,of immigrants
l-emigranti,emigrants
valanga,avalanche
Għall-migranti,For migrants
tined,tents
refuġjati,refugees
bl-immigrazzjoni,with immigration
Schaffer,Schaffer
ċċarġjata,charged
Sirja,Syria
jibbumbardja,bombing
L-emigranti,The emigrants
tar-Refuġjati,of Refugees
Afgani,Afghan
ikkraxxja,crash
Marrakex-Tensift-Al,Marrakesh-Tensift-Al
s-Sakkeġġ,sacking
temigra,temigra
Setanta,Seventy
Heartaches,Heartaches
suiċida,suicide
Peninsula,Peninsula
r-refuġjat,the refugee
fil-Haiti,in Haiti
għall-emigranti,for emigrants
issussidjata,subsidized
inqalbet,overturned
mar-rifuġjati,with refugees
Kanta,Sing
inħeles,was released
l-Lunzjata,the Annunciation
Avukatessa,Lawyer
blokkjata,blocked
emigrant,emigrant
emigranti,emigrants
għal-Latvja,for Latvia
toqtlu,kill him
Gaża,Strip
beta-karotina,beta-carotene
għall-immigranti,for immigrants
"2,200","2,200"
l-Haiti,Haiti
għar-Refuġjati,for Refugees
migrate,migrate
majorana,marjoram
Il-Lunzjata,The Annunciation
l-immigrazzjoni,immigration
jemigraw,migrate
ħarbu,escaped
Castries,Castries
iggassjata,gassed
l-immigrati,immigrants
tal-emigranti,of emigrants
Kolleggjata,Collegiate
Malarj,Malarj
Pointe,Pointe
nqabdux,were not caught
tinte,targets
imutu,imutu
ibbumardjata,bombarded
Qabad,Catch
MagħqudaKambodjaĊinaĊipruEġittuĠeorġjaIndjaIndoneżjaIranIraqIżraelJemenĠappunĠordanKażakistanKorea,United NationsCambodiaChinaCyprusEgyptGeorgiaIndiaIndonesiaIranIraqIsraelYemenJapanJordanKazakistanKorea
balbuljata,balbuljata
fl-immigranti,in immigrants
Gjata,Gjata
n-Nażi,the Nazis
al-Raxid,al-Raxid
iħaffer,dig
immigranti,immigrants
emigrata,emigrated
bl-immigranti,with immigrants
"17,200","17,200"
AmericanAndSovietAtElbe.jpg,AmericanAndSovietAtElbe.jpg
ir-refuġjati,refugees
fil-Libja,in Libya
l-immigranti,immigrants
Gaddhafi,Gaddhafi
Nordvjetnamit,North Vietnamese
BurundjanBurundjanaBurundjani,BurundianBurundianBurundian
xeneġġjata,screened
Streamline,Streamline
19572,19572
eżiljata,exiled
jemigra,migrate
Israeljani,Israelis
Kantawtriċi,Singer - songwriter
mill-emigranti,by emigrants
ambaxxatriċi,ambassador
Tarħuna,Grind us
immigrazzjoni,immigration
is-Sirja,Syria
tar-refuġjati,of refugees
umiljata,humiliated
għall-Emigranti,for Emigrants
għar-Rifuġjati,for Refugees
"88,600","88,600"
Kantanta,Singing
Al-Shabaab,Al-Shabaab
immigraw,immigrated
liċensjata,licensed
Hirschman,Hirschman
r-refuġjati,refugees
emigrati,emigrants
Refuġjati,Refugees
SamoaBo,SamoaBo
illinkljata,linked
suwiċida,suicide
jferu,hurt
evakwati,evacuated
rifuġjati,refugees
immigranta,immigrant
bl-abbużi,with abuses
migranti,migrants
jibbumbardjaw,bombing
Malaspina,Malaspina
Bomba,Bomb
skanta,scared
Libjani,Libyans
jindarbu,injured
"6,200","6,200"
Migrant,Migrant
emigraw,emigrated
emigrat,emigrated
mġiegħlin,forced
kkraxxja,crash
cents,cents
2.Acquasanta,2.Acquasanta
suwiċidji,suicides
radjata,radiated
Israel,Israel
Bangladexxa,Bangladesh
għar-refuġjati,for refugees
Immigrant,Immigrant
ttikjata,ticked
immigrant,immigrant
miehet,miehet
"1,200","1,200"
jegħrqu,sink
ittanta,ittanta
Immigranti,Immigrants
bbumbardjaw,bombed
"6,500","6,500"
Belongs,Belongs
refuġjat,refugee
joqtluh,kill him
mar-refuġjati,with refugees
"31,200","31,200"
refuġju,refuge
