0,google_translated
tâlharul,thief
hăituit,hunted
rătăcitor,wandering
expatriat,exile
prins,caught
pribeag,wanderer
vagabond,stray
refugiate,refugee
imigranţi,immigrants
exilându-se,exiling is
refugiează,take refuge
captivul,captive
fugat,Fugate
refugiată,refugee
fugarelor,fugitives
fugar.,fugitive.
refugiati,refugees
Refugiată,Refugee
prizonierul,prisoner
non-immigrant,non-immigrant
Emigranta,immigrant
Refugiat,Refugee
adăpostise,sheltered
imigrat,immigrated
exilat,exile
arestat,custody
refugiatul,refugee
refugiazã,Escape
meltean,meltean
emigranti,immigrants
migrante,migrate
emigrant,emigrant
shugar,shugar
drumeţ,traveler
emigranþi,emigrants
Imigrantii,Immigrants
contrabandist,smuggler
anti-imigranti,anti-immigrant
fugiat,run
refugiaza,refuge
refugiaseră,refuge
hăituitor,chasing
fugara,runaway
drumețul,traveler
imigranții,immigrants
Refugiatul,refugee
fugarilor,fugitives
hoţ,thief
Imigrant,Immigrant
trădătorul,traitor
refugiam,refuge
Imigrante,IMMIGRANT
refugia,escape
fugaresc,chase
refugiata,refugee
fugare,fleeting
criminal,criminal
azil,asylum
mutat,moved
fugarul,fugitive
non-imigrant,nonimmigrant
migrantul,migrant
refugiau,refuge
refugiatei,refugees
fuga.,escape.
Mama-imigrantă,Immigrant mother
azilat,asylum
Imigranta,Immigrant
fugareste,chasing
fiorosul,ferocious
imigrant.,immigrant.
interlopul,underworld
retras,retired
autoexilat,exile
emigrantului,emigrant
imigrantul,immigrant
imigrantii,immigrants
emigrante,immigrants
émigrants,emigrants
refugiatului,refugee
fugit,FLED
adăpostit,sheltered
imigrante,IMMIGRANT
Shugar,Shugar
migrant,migrant
imigranţii,immigrants
exiliat,exiled
migrantului,migrants
imigranţiDocument,immigrantsDocument
reîntors,returned
Imigranti,Immigrants
părăsit,leave
refugiară,took refuge
fugară,fugitive
bandit,bandit
refugie,refuge
infractor,felon
Mafiotul,Mafioso
deportat,deported
strămutat,translated
evacuat,evacuate
imigranți,immigrants
chipeşul,handsome
refugieze,refuge
Imigrantului,immigrant
fugarit,chased
zănatec,zănatec
migranti,migrate
fugă,flight
hoinarul,wanderer
plecat,gone
autoexilându-se,autoexilându the
Imigrantul,immigrant
imigranţilor,immigrants
Migrant,Migrant
imigrant,immigrant
imigrantului,immigrant
emigrat,immigrated
hoinar,wanderer
refugiase,refuge
întors,returned
fugarite,chased
imigran,immigrants
Fugar,Fugitive
refugiaþi,refugees
fugarei,I would run away
refugiază,refuge
emigrants,emigrants
Immigrant,Immigrant
emigrantă,immigrant
urmărit,followed
fugari,fugitives
immigrant,immigrant
fuge,flees
emigrantul,immigrant
imigrantă,immigrants
migrantă,migrant
Emigrant,Emigrant
fugarului,fugitive
azilant,asylum seeker
emigrantul.it,emigrantul.it
imigrantilor,immigrants
imigraţionist,the immigration
refugiatii,refugees
adăpostindu-se,shelter in
refugiindu-se,retreating
trădător,traitor
fugarii,fugitives
