0,google_translated
prisionera,prisoner
pro-inmigrante,pro-immigrant
adoptiva,adoptive
refugiados.El,refugees.
fugitiva,runaway
no-inmigrantes,non-immigrants
asilados,asylees
repatriado,repatriate
exilada,exiled
hispano,Hispanic
exilado,exiled
refugiar,shelter
inmigrado,immigrant
recluída,secluded
humanitaria,humanitarian
asiladas,isolated
Refugiado,Refugee
huído,fled
inmigrantes.En,immigrants.
deportada,deported
exiliadas,exiles
inmigra,immigration
inmigrantes.,immigrants.
inmigracion,immigration
refugiadas,refugee
inmigrada,immigrant
siria,Syria
asilada,isolated
REFUGIADO,REFUGEE
refugiarse,take refuge
antinmigrante,anti-immigrant
migrantes,migrants
reasentada,resettled
inmigrante,immigrant
refugiadxs,refugees
migrante,migrant
desahuciada,evicted
enclaustrada,cloistered
atrapada,trapped
inmigratorio,immigration
reclusa,recluse
prisionero,prisoner
antimigrante,anti-migrant
marginada,outcast
Inmigración,Immigration
indocumentado,undocumented
refugió,refuge
expatriada,expat
acogido,welcomed
deportado,deportee
refugiada,refugee
indocumentada,undocumented
refugiados-,refugees-
fugitivo,fugitive
imigrantes,immigrants
emigrada,emigrated
inmigradas,immigrants
autoexiliado,self-exiled
refugia,shelter
Inmigrantes,Immigrants
Refugiados,Refugees
recluida,secluded
criada,maid
desamparada,helpless
no-inmigrante,non-immigrant
desplazada,displaced
inmigrar,immigrate
encarcelada,imprisoned
anciana,old woman
inmigrantes.La,immigrants.
emigrantes,emigrants
asilo,asylum
refugiados,refugees
recluido,secluded
refugio,refuge
inmigrantes,immigrants
pied-noir,pied-noir
immigrantes,immigrants
emigrado,emigrated
INMIGRANTE,IMMIGRANT
inmigracionista,immigrationist
emigrante,emigrant
hacinada,crowded
huérfana,orphan
niña,girl
residente,resident
imigrante,immigrant
inmigratoria,immigration
exilio,exile
asilarse,to isolate
expatriado,expatriate
immigrante,immigrant
Inmigrante,Immigrant
inmigración,immigration
refugiados.La,refugees.
refugee,refugee
ciudadano,citizen
refugiados.,refugees.
asilado,asylee
guarecido,sheltered
inmigrantes.El,immigrants.
proinmigrante,pro-immigrant
huido,fled
Refugiadas,Refugees
refugiado,refugee
gitano,Gypsy
Asilado,Asylee
inmigrados,immigrants
Refugiada,Refugee
reasentado,resettled
inmigrantes-,immigrants-
indocumentados,undocumented
immigración,immigration
masacrada,slaughtered
exiliado,exiled
repatriada,repatriated
exiliada,exiled
confinada,confined
marginalizada,marginalized
refugiad,refuge
Acogido,Welcomed
inmigran,they immigrate
