0,google_translated
flygtning,refugee
arbejdsimmigranter,labor immigrants
emigranter,emigrants
Immigrants,Immigrants
andengenerationsindvandrer,second generation immigrant
indvandrende,immigrant
Immigranterne,The immigrants
kvoteflygtning,quota refugee
integrationsflygtninge,integration refugees
flygtningefamilier,refugee families
immigrant-,immigrant-
flygtningen,the refugee
indvandrede,immigrants
flygtnige,refugees
flygtninge.,refugees.
immigranterne,the immigrants
flygtningejob,refugee jobs
indvandrerland,immigrant country
indvandret,immigrant
immigrantbølger,immigrant waves
flygtningesituation,refugee situation
immigrationsstation,immigration station
flygtninges,refugees
immigrantfamilie,immigrant family
indvandrermænd,immigrant men
indvandrerghettoerne,the immigrant ghettos
Kvoteflygtninge,Quota refugees
bådflygtning,boat refugee
skatteflygtning,tax refugee
indvandrergruppen,the immigrant group
nydansker,new Danes
immigrationskontor,immigration office
flygtningedreng,refugee boy
flygtninger,refugees
indvandrere,immigrants
flygtningenes,the refugees
immigrants,immigrants
Flygtning,Refugee
emigrant,emigrant
flygtningestrøm,refugee flow
asylsøgere,asylum seekers
Immigranter,Immigrants
flygtningedrenge,refugee boys
immigrationsmyndighederne,immigration authorities
flygtningebaggrund,refugee background
emigrant-,emigrant-
indvandrer-baggrund,immigrant background
immigrations,immigrations
indvandrerspørgsmålet,the issue of immigrants
indvandrerghettoer,immigrant ghettos
indvandrertætte,immigrant-dense
FN-flygtninge,UN refugees
flygtningepige,refugee girl
immigrantlitteratur,immigrant literature
indvandrerfamilie,immigrant family
indvandrergrupper,immigrant groups
immigranten,immigrants
indvandrerlande,immigrant countries
flygtningeog,refugees and
immigrantbaggrund,immigrant background
indvandrermus,immigrant mouse
immigrantarbejdere,immigrant workers
krigsflygtninge,war refugees
indvandrene,the immigrants
immigrationsmyndigheder,immigration authorities
indvandre,immigrate
flygtningehjælp,refugee assistance
emmigranter,emigrants
flygtninge,refugees
flygtningslejre,refugee camps
indvandrerfamilier,immigrant families
imigranter,immigrants
emigranters,emigrants
krigsflygtning,war refugee
flygtninglejr,refugee camp
immigrantkulturer,immigrant cultures
flygtningepas,refugee passport
flygtninge.-,refugees.-
indvandrerne,the immigrants
flygtningefamilie,refugee family
udvandrer,emigrant
asylsøgende,asylum seekers
indvandrergruppe,immigrant group
emigranterne,the emigrants
immigrationskontoret,immigration office
immigrantgrupper,immigrant groups
migrant,migrant
flygtningebarn,refugee children
andengenerations-indvandrer,second-generation immigrant
flygtningegruppe,refugee group
indvandrermiljøet,the immigrant community
generationsindvandrer,generational immigrant
immigranters,immigrants
asylansøgeren,the asylum seeker
indvandrers,immigrants
emmigrant,emigrant
gademigranter,street migrants
indvandrebaggrund,immigrant background
indvandrerforældre,immigrant parents
immigrantstation,immigrant station
emigrantfamilie,emigrant family
indvandrerpiger,immigrant girls
nyindvandrede,new immigrants
emigranten,emigrants
indvandrernes,of immigrants
Immigranten,Immigrants
indvandrerghetto,immigrant ghetto
indvandreren,the immigrant
indvandrerdebat,immigration debate
asyl.-,asylum.-
indvandrerdigter,immigrant poets
immigration,immigration
flygtningene,the refugees
indvandrerpige,immigrant girl
genindvandrede,re-immigrated
imigrant,immigrant
Migrant,Migrant
immigrantmiljøer,immigrant communities
flygtningebørn,refugee children
immigrantnatur,immigrantnatur
fattigdomsflygtninge,poverty refugees
flygtnings,refugee
indvandrerby,immigrant town
indvandere,immigrants
indvandredrenge,immigrant boys
flygtninglejre,refugee camps
indvandrerunge,immigrant children
indvandrervenner,immigrant friends
Flygtningene,The refugees
indvandrekvinder,immigrant women
asylsøger,asylum seeker
indvandrer-,immigrant-
emigrants,emigrants
flygtningegrupper,refugee groups
immigranter,immigrants
Immigrant,Immigrant
indvandrerkvinde,immigrant woman
Emigrant,Emigrant
konventionsflygtninge,convention refugees
asylansøger,asylum seeker
flygtningelande,refugee countries
flygtningestatus,refugee status
indvandrergrupperne,immigrant groups
immigrantbefolkningen,the immigrant population
indvan-,indvan-
immigranternes,immigrants
immigrantsamfund,immigrant community
immigrerende,immigrant
