0,google_translated
idemenekült,fled here
menekültre,refugee
menekült,refugee
visszamenekült,fled back
bevándorlókat,immigrants
Kivándorló,Emigrant
menekültnek,refugees
bevándorlóval,with an immigrant
kivándorolt,emigrated
vendégmunkás,guest worker
bevándorlókon,immigrants
menekülő,refugee
bevándorlás,immigration
menekülhet,escape
bevándorlóról,about an immigrant
menekülõ,refugee
migránspárti,migrant party
migránsból,from a migrant
Bevándorló,Immigrant
menekülhetett,could have escaped
továbbmenekült,he fled
szökött,escaped
migránscsoport,migrant group
kimenekült,fled
menekülı,fugitive
menekülttel,refugees
hazamenekült,fled home
meneküli,escape
bevándorlói,immigrants
bevándorlóktól,from immigrants
odamenekült,he fled there
elvándorló,migrant
migránsért,for migrants
menekültek,refugees
menekülttől,from a refugee
menekülni,to escape
idevándorló,migrant
migráns-,migrant-
migránsokból,from migrants
kivándorló,emigrant
bevándorlókról,about immigrants
Menekült,Refugee
átmenekült,escaped
menedékkérő,asylum seeker
bevándorlónak,to an immigrant
elmenekült,fled
menekültcsoport,refugee group
bevándorlótól,from an immigrant
migránsra,migrant
bevándorlóként,as an immigrant
menekít,to escape
migránsok,migrants
bevándorló-ellenes,anti-immigrant
migránsként,as a migrant
menekültem,I fled
menekített,fled
bevándorlók,immigrants
menekültbefogadó,refugee host
menekültél,you fled
menekülô,refugee
bevándorlókhoz,for immigrants
menekültté,refugee
bevándorló,immigrant
emigrált,emigrated
bevándorlóknak,for immigrants
bevándorlókból,from immigrants
menekültök,refugees
menekültünk,we fled
bevándorlókra,immigrants
migráns,migrant
menekültből,from a refugee
menekültközpontban,refugee center
muszlim,Muslim
migránsról,about migrants
bevándorlókkal,with immigrants
menekülők,refugees
bevándorlóra,immigrant
menekül,escapes
menekült-,refugee-
vándorolt,wandered
bevándorlót,immigrant
menekültről,refugee
menekülõk,escape
menekült.,refugee.
immigráns,immigrant
bevándorlóellenes,anti-immigrant
migráncs,migrant
menekültje,refugee
menekülőkkel,with refugees
migránsnak,to migrants
bevándorolt,immigrant
menekülve,fleeing
bemenekült,fled
