keyword,deepl
idemenekült,fugitive
menekültre,for refugees
menekült,refugee
visszamenekült,returnee
bevándorlókat,immigrants
Kivándorló,Emigrant
menekültnek,for refugees
bevándorlóval,with immigrant
kivándorolt,emigrated
vendégmunkás,guest worker
bevándorlókon,immigrants
menekülő,refugee
bevándorlás,immigration
menekülhet,may flee
bevándorlóról,about immigrants
menekülõ,fleeing
migránspárti,pro-migrant
migránsból,from migrant
Bevándorló,Immigrant
menekülhetett,may have fled
továbbmenekült,fled
migránscsoport,migrant group
menekülı,refugee
menekülttel,with refugee
hazamenekült,returnee
meneküli,refugee
bevándorlói,immigrants
bevándorlóktól,from immigrants
odamenekült,refugee
elvándorló,emigrating
migránsért,for migrants
menekültek,refugees
menekülttől,from refugee
menekülni,to escape
idevándorló,migrant
migránsokból,from migrants
kivándorló,emigrant
bevándorlókról,about migrants
Menekült,Refugee
menedékkérő,asylum seeker
bevándorlónak,immigrant
elmenekült,fugitive
menekültcsoport,refugee group
bevándorlótól,from immigrant
migránsra,migrant to migrant
bevándorlóként,immigrant to immigrant
menekít,fleeing
migránsok,migrants
bevándorló-ellenes,anti-immigrant
migránsként,as migrants
menekültem,I fled
menekített,fled
bevándorlók,immigrants
menekültbefogadó,refugee host
menekültél,refugee
menekülô,refugee
bevándorlókhoz,for immigrants
menekültté,become a refugee
bevándorló,immigrant
emigrált,emigrated
bevándorlóknak,for immigrants
bevándorlókból,from immigrants
menekültök,refugees
menekültünk,our refugees
bevándorlókra,immigrants
migráns,migrant
menekültből,from refugee
menekültközpontban,refugee centre
migránsról,about migrants
bevándorlókkal,with migrants
menekülők,refugees
bevándorlóra,migrant to migrant
menekül,fleeing
vándorolt,migrated
bevándorlót,immigrant
menekültről,about refugee
menekülõk,refugees
immigráns,immigrant
bevándorlóellenes,anti-immigrant
migráncs,migrant
menekültje,refugee
menekülőkkel,refugees
migránsnak,migrant
bevándorolt,immigrant
menekülve,on the run
bemenekült,immigrant
