0,google_translated
utečenci,refugees
prisťahovalecká,immigrant
prisťahovaný,immigrant
prisťahované,immigrated
utečenecká,refugee
prisťahovania,immigration
prisťahovať,immigrate
Imigračný,Immigrant
Vysťahovalec,Emigrant
utečeného,escaped
prisťahovalecké,immigrant
Prisťahoval,He immigrated
Prisťahovalecký,Immigrant
prisťahovalci,immigrants
prisťahovaleckých,immigrant
imigrantév,immigrants
Poturčenec,The stomach
prisťahovalectvom,immigration
Lečenec,Lecenec
prisťahovaním,immigration
Utečenec,Refugee
utečenectva,refugees
emigrant,emigrant
utečeneckých,refugees
azylanta,asylum seeker
osadník,settler
Čečenec,Chechen
prisťahovalstva,immigration
utečeneckého,refugee
prisťahovaleckým,immigrant
prisťahovalec,immigrant
utečenecký,refugee
utečeneckej,refugee
účenec,scholar
utečeneckú,refugee
utečenectvo,refugee
Imigrant,Immigrant
prisťahovalectva,immigration
Vičenec,Vicenec
prisťahuje,immigrates
imigroval,immigrated
utečenecké,refugee
prisťahovalectvo,immigration
prisťahovalkyni,immigrant woman
terorista,terrorist
štvrovalec,quadruped
prisťahovaná,immigrated
prisťahovaleckou,immigrant
poturčenec,stumbling block
imigračný,immigrant
prisťahovalectvu,immigration
vysťahovalecký,emigrant
prisťahovaní,immigration
utečencom,refugees
prisťahoval,immigrated
utečeneckom,refugee
ozbrojenec,gunman
Prisťahovalectvo,Immigration
Sýrčan,Syrian
prisťahovaleckú,immigrant
migranta,migrant
prisťahovalo,immigrated
Mičenec,Mičenec
utečencov,refugees
prisťahovaleckej,immigrant
migrant,migrant
prisťahovalcami,immigrants
migračný,migratory
prisťahovalkyňa,immigrant
džihádista,jihadist
prisťahovali,immigrated
Konovalec,Konovalec
islamista,Islamist
azylant,asylum seeker
utečených,escaped
prisťahovaleckého,immigrant
utečenco,refugee
azylový,asylum
migranti,migrants
imigrant,immigrant
Migrant,Migrant
utečenca,refugee
prisťahovanie,immigration
imigrantů,immigrants
prisťahovalectve,immigration
utečencami,refugees
Utečenecký,Refugee
prisťahovalca,immigrant
prisťahovaného,immigrant
Džihádista,Jihadist
prisťahovalecký,immigrant
utečenka,runaway
prisťahovala,immigrated
Emigrant,Emigrant
prisťahovalcov,immigrants
utečenky,refugees
