keyword,deepl
Sõjapõgenik,War refugee
pagulaspere,refugee family
pagulastel,refugees
pagulasühiskonnas,in refugee society
uusasukatel,new settlers
pagulasproosa,refugee prose
Asunik,The Settler
uusasunikke,new settlers
pagulaskonnas,in refugee society
sisepagulane,IDP
põgenikekriisist,about the refugee crisis
põgenikel,refugees
põgenikega,with refugees
põgenikuga,with a refugee
põgenikuteele,for refugees
uusasundus,new housing
pagulasel,refugee
pagulastele,for refugees
põgenikelaine,refugee wave
põgeniknaist,refugee women
asunik,settler
uusasukaid,newcomers
põgenikesse,refugees
uusasustused,new settlements
uusasum,resettlement
uusasunikele,for new settlers
pagulaselu,refugee life
põgeniklast,refugee
uusasundused,new settlements
pagulas-,refugee-
põgen,refugees
pagulaseks,for refugees
põgenikevood,refugee flows
pagulase,refugee
pagulane,refugee
uusasustuse,resettlement
põgenikena,refugees
pagulast,refugee
pagulaslaagris,refugee camp
pagulaspoliitik,refugee politician
pagulaseaja,refugee time
põgenikevoo,refugee evacuation
põgeniketulva,refugee influx
põgenikul,refugee
pagulasstaatus,refugee status
pagulasele,for refugees
Põgenik,Refugee
pagulas,refugee
pagulaskirjandu,refugee application
poliitpagulane,political refugee
põgenikust,refugee
sõjapõgenikuga,war refugee
pagulasi,refugees
uusasustamine,resettlement
pagulasabi,refugee aid
paadipõgenik,boat refugee
põgenikekvoodi,refugee bed
põgenik,refugee
põgenikud,refugees
Pagulane,Refugee
sõjapõgenik,refugee
pagulased,refugees
pagulaslastele,for refugees
Põgenikeprobleem,Refugee problem
põgeniketulv,refugee influx
uusasukad,new arrivals
põgenikule,for refugees
põgenikevool,refugee influx
